Class,Day,Start,End
FULL BODY A,Monday,5:00,13:00
HYROX STRENGTH,Monday,13:01,17:15
BOOTCAMP MONDAY W12,Monday,17:16,18:30
BOOTCAMP MONDAY W34,Monday,17:16,18:30
FULL BODY A,Monday,18:31,19:45
HYROX CONDITIONING,Tuesday,5:00,7:15
UPPER BODY PUSH,Tuesday,7:16,8:30
HYROX CONDITIONING,Tuesday,8:31,13:00
UPPER BODY PUSH,Tuesday,13:01,18:30
ATH CON SPEED W12,Tuesday,18:31,19:45
ATH CON SPEED W34,Tuesday,18:31,19:45
UPPER BODY PUSH,Tuesday,19:46,21:00
UPPER BODY PULL,Wednesday,5:00,7:15
HYROX STRENGTH,Wednesday,7:16,8:30
UPPER BODY PULL,Wednesday,8:31,13:00
LOWER BODY A,Wednesday,13:01,17:15
HYROX CONDITIONING,Wednesday,17:16,18:30
LOWER BODY A,Wednesday,18:31,19:45
BARBELL FOUNDATIONS,Wednesday,19:46,21:00
HYROX STRENGTH,Thursday,5:00,7:15
LOWER BODY B,Thursday,7:16,8:30
HYROX STRENGTH,Thursday,8:31,13:00
LOWER BODY B,Thursday,13:01,18:30
ATH CON POWER W12,Thursday,18:31,19:45
ATH CON POWER W34,Thursday,18:31,19:45
FULL BODY B,Friday,5:00,7:15
ABS ASSAULT,Friday,7:16,8:30
FULL BODY B,Friday,8:31,13:00
HYROX WOD,Friday,13:01,17:15
BOOTCAMP FRIDAY W12,Friday,17:16,18:30
BOOTCAMP FRIDAY W34,Friday,17:16,18:30
FULL BODY B,Friday,18:31,19:45
HYBRID 75 A,Saturday,5:00,11:45
HYBRID 75 B,Saturday,5:00,11:45
FULL BODY A,Saturday,11:46,13:01
HYROX CONDITIONING,Saturday,13:01,14:30
HYROX SIM,Sunday,09:00,12:15
JENNY BOOTY BUILDER,Sunday,12:16,14:00
